"id","Country","State","County","unit","firstSeen","commonName","scientificName","totalSeen","notes","ChecklistComments","Locations","UTM1","UTM2","lon","lat"
"1","GU",NA,"",1,2021,"Micronesian Starling","Aplonis opaca",2,"","","Andersen Base",-12846318.289778,10898887.1464106,144.933048119028,13.5759001453562
"2","GU",NA,"",1,2021,"White Tern","Gygis alba",3,"","","Andersen Base",-12846318.289778,10898887.1464106,144.933048119028,13.5759001453562
"3","GU",NA,"",2,2021,"Red Junglefowl","Gallus gallus",6,"","","Potts Junction",-12836424.8630073,10925836.610913,144.868451600534,13.5894198372925
"4","GU",NA,"",3,2021,"Black Drongo","Dicrurus macrocercus",24,"","","Starts Resort.",-12842272.3853231,10927341.994342,144.866943779706,13.5759049526457
"5","GU",NA,"",3,2021,"Eurasian Moorhen","Gallinula chloropus",9,"","","Starts Resort.",-12842272.3853231,10927341.994342,144.866943779706,13.5759049526457
"6","GU",NA,"",3,2021,"Philippine Collared-Dove","Streptopelia dusumieri",4,"","","Starts Resort.",-12842272.3853231,10927341.994342,144.866943779706,13.5759049526457
"7","GU",NA,"",3,2021,"Yellow Bittern","Botaurus sinensis",5,"","","Starts Resort.",-12842272.3853231,10927341.994342,144.866943779706,13.5759049526457
"8","GU",NA,"",4,2021,"Black Francolin","Francolinus francolinus",3,"","","Ritidian Beach;Ritidian Beach",-12812263.4277054,10930926.0558821,144.848855101931,13.6417337182472
"9","GU",NA,"",4,2021,"Brown Booby","Sula leucogaster",9,"","","Ritidian Beach;Ritidian Beach",-12812263.4277054,10930926.0558821,144.848855101931,13.6417337182472
"10","GU",NA,"",4,2021,"Brown Noddy","Anous stolidus",15,"","","Ritidian Beach",-12812263.4277054,10930926.0558821,144.848855101931,13.6417337182472
"11","GU",NA,"",4,2021,"Dollarbird","Eurystomus orientalis",1,"Sitting upright on tree branch on winding road leading down to the NWR. In flight, ""dollar"" white patches clearly seen on wings. Unable to snag photo but will continue to check area daily for next 2-3 weeks","","Ritidian Beach",-12812263.4277054,10930926.0558821,144.848855101931,13.6417337182472
"12","GU",NA,"",4,2021,"Pacific Reef-Heron","Egretta sacra",2,"","","Ritidian Beach;Ritidian Beach",-12812263.4277054,10930926.0558821,144.848855101931,13.6417337182472
"13","GU",NA,"",4,2021,"Philippine Collared-Dove","Streptopelia dusumieri",6,"","","Ritidian Beach;Ritidian Beach",-12812263.4277054,10930926.0558821,144.848855101931,13.6417337182472
"14","GU",NA,"",4,2021,"Red-footed Booby","Sula sula",2,"","","Ritidian Beach",-12812263.4277054,10930926.0558821,144.848855101931,13.6417337182472
"15","GU",NA,"",4,2021,"Yellow Bittern","Botaurus sinensis",4,"","","Ritidian Beach;Ritidian Beach",-12812263.4277054,10930926.0558821,144.848855101931,13.6417337182472
"16","GU",NA,"",5,2021,"Micronesian Starling","Aplonis opaca",3,"","","Micronesia Mall, Dededo US-Guam (13.5197,144.8167)",-12863871.4854504,10952618.340269,144.8166850381,13.5196608913991
"17","GU",NA,"",6,2021,"Black Drongo","Dicrurus macrocercus",2,"","","453 RT 1, Tamuning US-Guam (13.4890,144.7868)",-12875462.1421108,10967557.4583964,144.78676402121,13.4890169749216
"18","GU",NA,"",6,2021,"Eurasian Tree Sparrow","Passer montanus",3,"","","453 RT 1, Tamuning US-Guam (13.4890,144.7868)",-12875462.1421108,10967557.4583964,144.78676402121,13.4890169749216
"19","GU",NA,"",6,2021,"Philippine Collared-Dove","Streptopelia dusumieri",2,"","","453 RT 1, Tamuning US-Guam (13.4890,144.7868)",-12875462.1421108,10967557.4583964,144.78676402121,13.4890169749216
"20","GU",NA,"",6,2021,"Yellow Bittern","Botaurus sinensis",2,"","","453 RT 1, Tamuning US-Guam (13.4890,144.7868)",-12875462.1421108,10967557.4583964,144.78676402121,13.4890169749216
"21","GU",NA,"",7,2021,"Pacific Golden-Plover","Pluvialis fulva",5,"","","Jeff's Pirate Cove",-12929689.8876138,10983034.3602903,144.770426922867,13.3642361658945
"22","GU",NA,"",7,2021,"Pacific Reef-Heron","Egretta sacra",6,"","","Jeff's Pirate Cove",-12929689.8876138,10983034.3602903,144.770426922867,13.3642361658945
"23","GU",NA,"",7,2021,"Ruddy Turnstone","Arenaria interpres",2,"","","Jeff's Pirate Cove",-12929689.8876138,10983034.3602903,144.770426922867,13.3642361658945
